trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
447,False,"{'a': 0.4, 'e': 0.16729442414943904}",30,15,-1.260794081961604,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
448,False,"{'a': 0.4, 'e': 0.16662658302554365}",30,7,26.544954885875853,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.4, 'e': 0.1659614079305314}",30,24,8.518059057724688,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.4, 'e': 0.16529888822158653}",20,13,-30.30717014987677,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
451,False,"{'a': 0.4, 'e': 0.1646390132983796}",30,24,9.79781959142442,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.4, 'e': 0.16398177260289773}",25,18,6.060785116220865,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.4, 'e': 0.1633271556192758}",20,0,16.61408016231668,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
454,False,"{'a': 0.4, 'e': 0.16267515187362808}",30,16,24.036454633877707,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.4, 'e': 0.16202575093388075}",20,3,18.335364388475504,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
456,False,"{'a': 0.4, 'e': 0.1613789424096049}",25,17,14.630323419325675,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.4, 'e': 0.16073471595185038}",25,2,-48.23094190605678,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 1}",1
458,False,"{'a': 0.4, 'e': 0.16009306125298012}",25,20,10.569579008227228,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.4, 'e': 0.1594539680465052}",25,0,2.9617897015128185,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
460,False,"{'a': 0.4, 'e': 0.15881742610692068}",20,10,16.836848585822878,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.4, 'e': 0.15818342524954201}",20,10,7.157057932355957,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.4, 'e': 0.15755195533034191}",30,7,33.42471571795602,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
